nu (cm^-1),absorbance
4.383033521000000292e+03,1.095058930334466413e-01
4.383034521000000495e+03,1.103382844396429696e-01
4.383035521000000699e+03,1.111798591680204229e-01
4.383036520999999993e+03,1.120311145370611050e-01
4.383037521000000197e+03,1.128915171431585096e-01
4.383038521000000401e+03,1.137616029972951248e-01
4.383039521000000605e+03,1.146415540704005670e-01
4.383040520999999899e+03,1.155315584239846316e-01
4.383041521000000103e+03,1.164318089419034558e-01
4.383042521000000306e+03,1.173413459649137319e-01
4.383043521000000510e+03,1.182626252128227279e-01
4.383044521000000714e+03,1.191947518179863330e-01
4.383045521000000008e+03,1.201380864282596411e-01
4.383046521000000212e+03,1.210925202581335514e-01
4.383047521000000415e+03,1.220584112074957067e-01
4.383048521000000619e+03,1.230359569450264617e-01
4.383049520999999913e+03,1.240253490284726201e-01
4.383050521000000117e+03,1.250267705524812367e-01
4.383051521000000321e+03,1.260403935275637155e-01
4.383052521000000525e+03,1.270663762394558249e-01
4.383053521000000728e+03,1.281048591365130662e-01
4.383054521000000022e+03,1.291559628701803297e-01
4.383055521000000226e+03,1.302197836452727575e-01
4.383056521000000430e+03,1.312963895403354841e-01
4.383057521000000634e+03,1.323865263459439445e-01
4.383058520999999928e+03,1.334887738590915807e-01
4.383059521000000132e+03,1.346037994442515207e-01
4.383060521000000335e+03,1.357315151779225904e-01
4.383061521000000539e+03,1.368717823902469433e-01
4.383062521000000743e+03,1.380244120035707400e-01
4.383063521000000037e+03,1.391907895624371616e-01
4.383064521000000241e+03,1.403672982008159209e-01
4.383065521000000444e+03,1.415551977222276880e-01
4.383066521000000648e+03,1.427540177624017914e-01
4.383067520999999942e+03,1.439632113913334732e-01
4.383068521000000146e+03,1.451821446639547653e-01
4.383069521000000350e+03,1.464100933301391294e-01
4.383070521000000554e+03,1.476462383609202234e-01
4.383071520999999848e+03,1.488896617136035716e-01
4.383072521000000052e+03,1.501393773797533027e-01
4.383073521000000255e+03,1.513941887902178207e-01
4.383074521000000459e+03,1.526528918382009659e-01
4.383075521000000663e+03,1.539141377516718423e-01
4.383076520999999957e+03,1.551764622418331241e-01
4.383077521000000161e+03,1.564382848520633751e-01
4.383078521000000364e+03,1.576979080734101091e-01
4.383079521000000568e+03,1.589535172411401520e-01
4.383080520999999862e+03,1.602031812800616128e-01
4.383081521000000066e+03,1.614449337389769479e-01
4.383082521000000270e+03,1.626764582382677349e-01
4.383083521000000474e+03,1.638956333655074704e-01
4.383084521000000677e+03,1.650999596833541694e-01
4.383085520999999972e+03,1.662870366653243226e-01
4.383086521000000175e+03,1.674543097637899713e-01
4.383087521000000379e+03,1.685991440780638950e-01
4.383088521000000583e+03,1.697188363971997016e-01
4.383089520999999877e+03,1.708106250282006300e-01
4.383090521000000081e+03,1.718717177128458173e-01
4.383091521000000284e+03,1.728993024930328970e-01
4.383092521000000488e+03,1.738904583886966559e-01
4.383093521000000692e+03,1.748423910626545896e-01
4.383094520999999986e+03,1.757522873610240233e-01
4.383095521000000190e+03,1.766173842922290349e-01
4.383096521000000394e+03,1.774349710829932758e-01
4.383097521000000597e+03,1.782024398624485750e-01
4.383098520999999892e+03,1.789172884083227166e-01
4.383099521000000095e+03,1.795771214678074934e-01
4.383100521000000299e+03,1.801797756677247786e-01
4.383101521000000503e+03,1.807231885236715851e-01
4.383102521000000706e+03,1.812055198139450318e-01
4.383103521000000001e+03,1.816251463531464716e-01
4.383104521000000204e+03,1.819806800385686818e-01
4.383105521000000408e+03,1.822709840226524047e-01
4.383106521000000612e+03,1.824951867120077620e-01
4.383107520999999906e+03,1.826526933108198747e-01
4.383108521000000110e+03,1.827431946748171443e-01
4.383109521000000314e+03,1.827666732830097729e-01
4.383110521000000517e+03,1.827234061923826702e-01
4.383111521000000721e+03,1.826139648133337789e-01
4.383112521000000015e+03,1.824392119621225661e-01
4.383113521000000219e+03,1.822002950482456973e-01
4.383114521000000423e+03,1.818986370684998743e-01
4.383115521000000626e+03,1.815359336662736300e-01
4.383116520999999921e+03,1.811141013204845551e-01
4.383117521000000124e+03,1.806353158624761091e-01
4.383118521000000328e+03,1.801019562972883126e-01
4.383119521000000532e+03,1.795165932302816014e-01
4.383120521000000736e+03,1.788819666766115202e-01
4.383121521000000030e+03,1.782009628817638469e-01
4.383122521000000233e+03,1.774766160231340262e-01
4.383123521000000437e+03,1.767119502955507293e-01
4.383124521000000641e+03,1.759102354136880264e-01
4.383125520999999935e+03,1.750746731293900682e-01
4.383126521000000139e+03,1.742085239227452176e-01
4.383127521000000343e+03,1.733150546040986562e-01
4.383128521000000546e+03,1.723975179383357981e-01
4.383129520999999841e+03,1.714591328644956558e-01
4.383130521000000044e+03,1.705030677215713941e-01
4.383131521000000248e+03,1.695324241576224855e-01
4.383132521000000452e+03,1.685502228867379049e-01
4.383133521000000655e+03,1.675594393599484644e-01
4.383134520999999950e+03,1.665627991361817717e-01
4.383135521000000153e+03,1.655630638451062453e-01
4.383136521000000357e+03,1.645628257395896632e-01
4.383137521000000561e+03,1.635645523978110361e-01
4.383138520999999855e+03,1.625705829179777684e-01
4.383139521000000059e+03,1.615831261746995817e-01
4.383140521000000263e+03,1.606042572038159921e-01
4.383141521000000466e+03,1.596359211494407515e-01
4.383142521000000670e+03,1.586799350341623061e-01
4.383143520999999964e+03,1.577379778373124986e-01
4.383144521000000168e+03,1.568116123804283168e-01
4.383145521000000372e+03,1.559022761572648186e-01
4.383146521000000575e+03,1.550112885993014944e-01
4.383147520999999870e+03,1.541398555931648706e-01
4.383148521000000073e+03,1.533014351626881266e-01
4.383149521000000277e+03,1.524723094751329056e-01
4.383150521000000481e+03,1.516658972114186821e-01
4.383151521000000685e+03,1.508826464561245639e-01
4.383152520999999979e+03,1.501234510827566537e-01
4.383153521000000183e+03,1.493900014729758474e-01
4.383154521000000386e+03,1.486806766659894696e-01
4.383155521000000590e+03,1.479970761159919712e-01
4.383156520999999884e+03,1.473396145083231690e-01
4.383157521000000088e+03,1.467086436033425145e-01
4.383158521000000292e+03,1.461044565710629684e-01
4.383159521000000495e+03,1.455272921882240778e-01
4.383160521000000699e+03,1.449773386650379525e-01
4.383161520999999993e+03,1.444547372013787745e-01
4.383162521000000197e+03,1.439596583036023281e-01
4.383163521000000401e+03,1.434920125595048335e-01
4.383164521000000605e+03,1.430518914260834606e-01
4.383165520999999899e+03,1.426392775259082701e-01
4.383166521000000103e+03,1.422541182087499745e-01
4.383167521000000306e+03,1.418963330309626070e-01
4.383168521000000510e+03,1.415658063962661750e-01
4.383169521000000714e+03,1.412623945196737618e-01
4.383170521000000008e+03,1.409859247266225246e-01
4.383171521000000212e+03,1.407361959961845599e-01
4.383172521000000415e+03,1.405129791410574258e-01
4.383173521000000619e+03,1.403160168224684146e-01
4.383174520999999913e+03,1.401450232804394569e-01
4.383175521000000117e+03,1.399996838526055276e-01
4.383176521000000321e+03,1.398796546364532711e-01
4.383177521000000525e+03,1.397845602693382483e-01
4.383178521000000728e+03,1.397139949898737465e-01
4.383179521000000022e+03,1.396675201406683831e-01
4.383180521000000226e+03,1.396447469163647481e-01
4.383181521000000430e+03,1.396450007499042689e-01
4.383182521000000634e+03,1.396678214252030092e-01
4.383183520999999928e+03,1.397122799244185365e-01
4.383184521000000132e+03,1.397784293498884056e-01
4.383185521000000335e+03,1.398652878583779013e-01
4.383186521000000539e+03,1.399721540348800308e-01
4.383187521000000743e+03,1.400982846644391322e-01
4.383188521000000037e+03,1.402428940604626972e-01
4.383189521000000241e+03,1.404051534940786161e-01
4.383190521000000444e+03,1.405841915232300399e-01
4.383191521000000648e+03,1.407790933508235032e-01
4.383192520999999942e+03,1.409889017661405120e-01
4.383193521000000146e+03,1.412126178184548442e-01
4.383194521000000350e+03,1.414492019929982913e-01
4.383195521000000554e+03,1.416975757929616608e-01
4.383196520999999848e+03,1.419567726580500122e-01
4.383197521000000052e+03,1.422253376573506811e-01
4.383198521000000255e+03,1.425022436871435927e-01
4.383199521000000459e+03,1.427862806952841512e-01
4.383200521000000663e+03,1.430762141963687895e-01
4.383201520999999957e+03,1.433707893396642952e-01
4.383202521000000161e+03,1.436687366500057350e-01
4.383203521000000364e+03,1.439687758371859527e-01
4.383204521000000568e+03,1.442696224201550359e-01
4.383205520999999862e+03,1.445699966339621390e-01
4.383206521000000066e+03,1.448686178137886804e-01
